[2026-04-15 10:49:27,151][Train_Process.py] start training!
[2026-04-16 00:22:27,938][Train_Process.py] P168_lower_img.nii.gz dice=0.0011
[2026-04-16 00:22:40,699][Train_Process.py] P169_lower_img.nii.gz dice=0.0011
[2026-04-16 00:22:55,523][Train_Process.py] P170_lower_img.nii.gz dice=0.0006
[2026-04-16 00:23:02,126][Train_Process.py] P171_lower_img.nii.gz dice=0.0011
[2026-04-16 00:23:18,353][Train_Process.py] P172_lower_img.nii.gz dice=0.0008
[2026-04-16 00:23:18,957][Train_Process.py] Epoch:[50/150]  lr=0.000100  loss=0.59372  dice_e=0.5597 max_dice=0.0009
[2026-04-16 00:39:01,581][Train_Process.py] Epoch:[51/150]  lr=0.000100  loss=0.55788  dice_e=0.5989 max_dice=0.0009
[2026-04-16 00:55:32,678][Train_Process.py] Epoch:[52/150]  lr=0.000100  loss=0.58438  dice_e=0.5795 max_dice=0.0009
[2026-04-16 01:12:38,433][Train_Process.py] Epoch:[53/150]  lr=0.000100  loss=0.55054  dice_e=0.5852 max_dice=0.0009
[2026-04-16 01:30:25,520][Train_Process.py] Epoch:[54/150]  lr=0.000100  loss=0.51589  dice_e=0.6509 max_dice=0.0009
[2026-04-16 01:49:46,997][Train_Process.py] Epoch:[55/150]  lr=0.000100  loss=0.52426  dice_e=0.6086 max_dice=0.0009
