[2026-04-14 11:57:30,600][Train_Process.py] P167_lower_img.nii.gz dice=0.0849
[2026-04-14 11:57:37,857][Train_Process.py] P168_lower_img.nii.gz dice=0.1121
[2026-04-14 11:57:42,673][Train_Process.py] P169_lower_img.nii.gz dice=0.1104
[2026-04-14 11:57:48,368][Train_Process.py] P170_lower_img.nii.gz dice=0.0613
[2026-04-14 11:57:50,865][Train_Process.py] P171_lower_img.nii.gz dice=0.0960
[2026-04-14 11:57:56,435][Train_Process.py] P172_lower_img.nii.gz dice=0.0891
[2026-04-14 11:57:56,492][Train_Process.py] Epoch:[80/150]  lr=0.000100  loss=0.47628  dice_e=0.5757 max_dice=0.4372
[2026-04-14 12:03:28,654][Train_Process.py] Epoch:[81/150]  lr=0.000100  loss=0.46792  dice_e=0.5801 max_dice=0.4372
[2026-04-14 12:08:54,097][Train_Process.py] Epoch:[82/150]  lr=0.000080  loss=0.47663  dice_e=0.5690 max_dice=0.4372
[2026-04-14 12:14:05,861][Train_Process.py] Epoch:[83/150]  lr=0.000080  loss=0.47713  dice_e=0.5724 max_dice=0.4372
[2026-04-14 12:19:18,044][Train_Process.py] Epoch:[84/150]  lr=0.000080  loss=0.46172  dice_e=0.5837 max_dice=0.4372
[2026-04-14 12:24:48,078][Train_Process.py] Epoch:[85/150]  lr=0.000080  loss=0.45952  dice_e=0.5866 max_dice=0.4372
[2026-04-14 12:30:03,351][Train_Process.py] Epoch:[86/150]  lr=0.000080  loss=0.42716  dice_e=0.6141 max_dice=0.4372
[2026-04-14 12:35:17,998][Train_Process.py] Epoch:[87/150]  lr=0.000080  loss=0.42037  dice_e=0.6219 max_dice=0.4372
[2026-04-14 12:40:34,547][Train_Process.py] Epoch:[88/150]  lr=0.000080  loss=0.43733  dice_e=0.6036 max_dice=0.4372
[2026-04-14 12:45:41,922][Train_Process.py] Epoch:[89/150]  lr=0.000080  loss=0.42837  dice_e=0.6127 max_dice=0.4372
[2026-04-14 13:04:57,654][Train_Process.py] P135_lower_img.nii.gz dice=0.5012
[2026-04-14 13:05:00,182][Train_Process.py] P136_lower_img.nii.gz dice=0.4828
[2026-04-14 13:05:06,223][Train_Process.py] P137_lower_img.nii.gz dice=0.6979
[2026-04-14 13:05:09,706][Train_Process.py] P138_lower_img.nii.gz dice=0.6197
[2026-04-14 13:05:15,068][Train_Process.py] P139_lower_img.nii.gz dice=0.5663
[2026-04-14 13:05:20,089][Train_Process.py] P140_lower_img.nii.gz dice=0.6667
[2026-04-14 13:05:30,614][Train_Process.py] P141_lower_img.nii.gz dice=0.6782
[2026-04-14 13:05:34,753][Train_Process.py] P142_lower_img.nii.gz dice=0.6205
[2026-04-14 13:05:39,763][Train_Process.py] P143_lower_img.nii.gz dice=0.6608
[2026-04-14 13:05:45,945][Train_Process.py] P144_lower_img.nii.gz dice=0.6830
[2026-04-14 13:05:55,745][Train_Process.py] P145_lower_img.nii.gz dice=0.7467
[2026-04-14 13:06:05,502][Train_Process.py] P146_lower_img.nii.gz dice=0.7206
[2026-04-14 13:06:08,220][Train_Process.py] P147_lower_img.nii.gz dice=0.4249
[2026-04-14 13:06:18,794][Train_Process.py] P148_lower_img.nii.gz dice=0.7419
[2026-04-14 13:06:23,672][Train_Process.py] P149_lower_img.nii.gz dice=0.6820
[2026-04-14 13:06:29,234][Train_Process.py] P150_lower_img.nii.gz dice=0.7282
[2026-04-14 13:06:34,476][Train_Process.py] P151_lower_img.nii.gz dice=0.6421
[2026-04-14 13:06:40,044][Train_Process.py] P152_lower_img.nii.gz dice=0.7237
[2026-04-14 13:06:42,617][Train_Process.py] P153_lower_img.nii.gz dice=0.5210
[2026-04-14 13:06:45,267][Train_Process.py] P154_lower_img.nii.gz dice=0.5381
[2026-04-14 13:06:54,523][Train_Process.py] P155_lower_img.nii.gz dice=0.7740
[2026-04-14 13:07:03,985][Train_Process.py] P156_lower_img.nii.gz dice=0.8070
[2026-04-14 13:07:15,060][Train_Process.py] P157_lower_img.nii.gz dice=0.7778
[2026-04-14 13:07:19,049][Train_Process.py] P158_lower_img.nii.gz dice=0.6112
[2026-04-14 13:07:21,844][Train_Process.py] P159_lower_img.nii.gz dice=0.4959
[2026-04-14 13:07:27,394][Train_Process.py] P160_lower_img.nii.gz dice=0.6894
[2026-04-14 13:07:32,420][Train_Process.py] P161_lower_img.nii.gz dice=0.7438
[2026-04-14 13:07:37,476][Train_Process.py] P162_lower_img.nii.gz dice=0.6767
[2026-04-14 13:07:42,854][Train_Process.py] P163_lower_img.nii.gz dice=0.7547
[2026-04-14 13:07:48,008][Train_Process.py] P164_lower_img.nii.gz dice=0.7236
[2026-04-14 13:07:52,483][Train_Process.py] P165_lower_img.nii.gz dice=0.6206
[2026-04-14 13:08:02,069][Train_Process.py] P166_lower_img.nii.gz dice=0.8128
[2026-04-14 13:08:07,361][Train_Process.py] P167_lower_img.nii.gz dice=0.7063
[2026-04-14 13:08:14,478][Train_Process.py] P168_lower_img.nii.gz dice=0.7743
[2026-04-14 13:08:19,204][Train_Process.py] P169_lower_img.nii.gz dice=0.6912
[2026-04-14 13:08:24,810][Train_Process.py] P170_lower_img.nii.gz dice=0.5720
[2026-04-14 13:08:27,353][Train_Process.py] P171_lower_img.nii.gz dice=0.6244
[2026-04-14 13:08:32,927][Train_Process.py] P172_lower_img.nii.gz dice=0.6786
